Section,Application title,Application filing date,link to folder with ESA,Hearing order,Folder link,Company Name,Consultant Name,Status in GIS,RTS English Title = Project name,Regulatory Instruments Issued,Pipeline Named in GIS,Application title short,Link to Application,Link to Decision,Location
52,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,3/17/2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD
52,2006-05-23 - Application for the Brunswick Pipeline Project (GH-1-2006),5/23/2006,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/408713,GH-1-2006,408713,Emera Brunswick Pipeline Company Ltd.,Jacques Whitford,Operating,Brunswick Pipeline Project,GC-110,Brunswick Pipeline,Application for the Brunswick Pipeline Project,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/408789,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/466317,TBD
52,"2007-03-09 - Application for Line 13 Transfer, Line 13 Reversal and Capacity Replacement for the Southern Lights Project (OH-3-2007)",3/9/2007,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/456315,OH-3-2007,456315,Enbridge Southern Lights GP Inc.,TERA Environmental Consultants,Operating,Line 13 Reversal Facilities Project,XO-E242-03-2008,Line 13,"Application for Line 13 Transfer, Line 13 Reversal and Capacity Replacement for the Southern Lights Project",https://apps.cer-rec.gc.ca/REGDOCS/Item/View/456607,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/499885,TBD
52,2007-05-30 - Application for the Alberta Clipper Expansion Project (OH-4-2007),5/30/2007,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/464743,OH-4-2007,464743,Enbridge Pipelines Inc.,TERA Environmental Consultants,Operating,Alberta Clipper Expansion Project ,OC-054,Alberta Clipper,Application for the Alberta Clipper Expansion Project,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/465178,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/500099,TBD
52,2007-06-28 - Application for the Line 4 Extension Project (OH-5-2007),6/28/2007,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/467952,OH-5-2007,467952,Enbridge Pipelines Inc.,TERA Environmental Consultants,Operating,Line 4 Extension Project,OC-55,Line 4,Application for the Line 4 Extension Project,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/469094,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/506549,TBD
58,2007-11-23 - Application for the Cushing Expansion (OH-1-2008),11/23/2007,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/486196,OH-1-2008,486196,TransCanada Keystone Pipeline GP Ltd.,"Jacques Whitford AXYS Ltd, FMA Heritage Resources Consultants, IPS Consulting Ltd",Operating,Cushing Expansion Project,XO-T241-007-2008,No lines only new pump stations,Application for the Cushing Expansion,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/486602,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/523224,TBD
52,2007-12-07 - Application for Redwillow Pipeline Project (GH-2-2008),12/7/2007,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/487605,GH-2-2008,487605,SemCAMS Redwillow ULC,TERA Environmental Consultants,Revoked Certificate,Redwillow Pipeline Project ,"GC-114, RO-GC-114",Redwillow Pipeline,Application for Redwillow Pipeline Project,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/487906,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/551651,TBD
52,2008-02-27 - Application to construct and operate the South Peace Pipeline Project (GH-3-2008),2/27/2008,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/500494,GH-3-2008,500494,Westcoast Energy Inc.,TERA Environmental Consultants,Operating,South Peace Pipeline Project,GC-112,South Peace Pipeline,Application to construct and operate the South Peace Pipeline Project,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/500910,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/540284,TBD
52,2009-02-27 - Application for the Keystone XL Pipeline (OH-1-2009),2/27/2009,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/549185,OH-1-2009,549185,TransCanada Keystone Pipeline GP Ltd.,Jacques Whitford AXYS Ltd,Approved,Keystone XL Pipeline,OC-056,Keystone XL Pipeline,Application for the Keystone XL Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/550305,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/604643,TBD
52,2009-04-30 - Application for the Groundbirch Pipeline Project (GH-1-2009),4/30/2009,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/555059,GH-1-2009,555059,NOVA Gas Transmission Ltd.,TERA Environmental Consultants,Operating,Groundbirch Pipeline Project,GC-115,Groundbirch Mainline,Application for the Groundbirch Pipeline Project,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/555680,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/602347,TBD
