page_number,table_title,table_title_next,final_table_title,categories,DataID,file_name,application_name,esa_folder_link,DocumentID,esa_download_link,DataID_pdf,Section,Application filing date,link to folder with ESA,Hearing order,Folder link,Company Name,Consultant Name,Status in GIS,RTS English Title = Project name,Regulatory Instruments Issued,Pipeline Named in GIS,Application title short,Link to Application,Link to Decision,Location_x,Component,Component PDF Name,Component Index,table_count,short_name,Location_y,Commodity,Category
31,"Table 13.2-1 summarizes the cost implications of each alternative, based on their total length.",Table 13.2-1 Cost Comparisons of the Three Alternatives  Route  ,"Table 13.2-1 summarizes the cost implications of each alternative, based on their total length.",0.0,268706,A0H8C0 - 13.0 EIA - Section 13.1 to 13.6 ,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/268693,A0H8C0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/268706,268706.pdf,52,2003-03-17,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD,ESA,"Section 13.1: Introduction, Section 13.1: Project Description, Section 13.3: Assessment Methods, Section 13.4: Air, Section 13.5: Terrain and Soils, Section 13.6: Vegetation",1.0,42.0,Ekwan,"Alberta, British Columbia, All",Gas,Table
31,Table 13.2-1 Cost Comparisons of the Three Alternatives Route,Alterative    ,Table 13.2-1 Cost Comparisons of the Three Alternatives Route,1.0,268706,A0H8C0 - 13.0 EIA - Section 13.1 to 13.6 ,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/268693,A0H8C0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/268706,268706.pdf,52,2003-03-17,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD,ESA,"Section 13.1: Introduction, Section 13.1: Project Description, Section 13.3: Assessment Methods, Section 13.4: Air, Section 13.5: Terrain and Soils, Section 13.6: Vegetation",1.0,42.0,Ekwan,"Alberta, British Columbia, All",Gas,Table
32,"Table 13.2-2 provides a comparison of the types of linear corridors followed by the three alternatives, as well the amount of new ROW required by each alternative.",Table 13.2-2 Linear Corridors Followed by Each Alternative  ,"Table 13.2-2 provides a comparison of the types of linear corridors followed by the three alternatives, as well the amount of new ROW required by each alternative.",0.0,268706,A0H8C0 - 13.0 EIA - Section 13.1 to 13.6 ,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/268693,A0H8C0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/268706,268706.pdf,52,2003-03-17,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD,ESA,"Section 13.1: Introduction, Section 13.1: Project Description, Section 13.3: Assessment Methods, Section 13.4: Air, Section 13.5: Terrain and Soils, Section 13.6: Vegetation",1.0,42.0,Ekwan,"Alberta, British Columbia, All",Gas,Table
32,Table 13.2-2 Linear Corridors Followed by Each Alternative,Alternative    ,Table 13.2-2 Linear Corridors Followed by Each Alternative,1.0,268706,A0H8C0 - 13.0 EIA - Section 13.1 to 13.6 ,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/268693,A0H8C0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/268706,268706.pdf,52,2003-03-17,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD,ESA,"Section 13.1: Introduction, Section 13.1: Project Description, Section 13.3: Assessment Methods, Section 13.4: Air, Section 13.5: Terrain and Soils, Section 13.6: Vegetation",1.0,42.0,Ekwan,"Alberta, British Columbia, All",Gas,Table
41,Figure 13.3-1 presents the conceptual approach for selecting and pursuing CEA issues in this EIA.,Step 4: Determine if the Cumulative Effects are Significant ,Figure 13.3-1 presents the conceptual approach for selecting and pursuing CEA issues in this EIA.,0.0,268706,A0H8C0 - 13.0 EIA - Section 13.1 to 13.6 ,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/268693,A0H8C0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/268706,268706.pdf,52,2003-03-17,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD,ESA,"Section 13.1: Introduction, Section 13.1: Project Description, Section 13.3: Assessment Methods, Section 13.4: Air, Section 13.5: Terrain and Soils, Section 13.6: Vegetation",1.0,42.0,Ekwan,"Alberta, British Columbia, All",Gas,Figure
41,Figure 13.3-1 CEA Framework,"In support of the CEAs undertaken for this EIA, a project inclusion list (see Table 13.3-1)  was developed, identifying existing and future (up to 2007) known or proposed land use  activities within 15 km of the proposed Pipeline alignment, whose impact on resources  could overlap those of the Ekwan Project.   ",Figure 13.3-1 CEA Framework,1.0,268706,A0H8C0 - 13.0 EIA - Section 13.1 to 13.6 ,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/268693,A0H8C0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/268706,268706.pdf,52,2003-03-17,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD,ESA,"Section 13.1: Introduction, Section 13.1: Project Description, Section 13.3: Assessment Methods, Section 13.4: Air, Section 13.5: Terrain and Soils, Section 13.6: Vegetation",1.0,42.0,Ekwan,"Alberta, British Columbia, All",Gas,Figure
41,Table 13.3-1 Project Inclusion List Baseline Scenario Land Use,Activity (as of early February 2003)  Construction Scenario Land  ,Table 13.3-1 Project Inclusion List Baseline Scenario Land Use,1.0,268706,A0H8C0 - 13.0 EIA - Section 13.1 to 13.6 ,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/268693,A0H8C0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/268706,268706.pdf,52,2003-03-17,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD,ESA,"Section 13.1: Introduction, Section 13.1: Project Description, Section 13.3: Assessment Methods, Section 13.4: Air, Section 13.5: Terrain and Soils, Section 13.6: Vegetation",1.0,42.0,Ekwan,"Alberta, British Columbia, All",Gas,Table
44,"Figure 13.4-1 shows the mean daily, mean maximum, and mean minimum temperatures observed at the Fort Nelson Airport. The annual mean daily temperature, maximum temperature and minimum temperature are -0.7°C, 5.0°C and -6.4°C, respectively. Average maximum temperatures greater than 20°C occur in June, July, and August; average minimum values less than -20°C occur in December, January, and February.","The extreme maximum recorded temperature of 36.7°C occurred on July 01, 1942. The  extreme minimum recorded temperature of -51.7°C occurred on January 30, 1947.  ","Figure 13.4-1 shows the mean daily, mean maximum, and mean minimum temperatures observed at the Fort Nelson Airport. The annual mean daily temperature, maximum temperature and minimum temperature are -0.7°C, 5.0°C and -6.4°C, respectively. Average maximum temperatures greater than 20°C occur in June, July, and August; average minimum values less than -20°C occur in December, January, and February.",0.0,268706,A0H8C0 - 13.0 EIA - Section 13.1 to 13.6 ,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/268693,A0H8C0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/268706,268706.pdf,52,2003-03-17,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD,ESA,"Section 13.1: Introduction, Section 13.1: Project Description, Section 13.3: Assessment Methods, Section 13.4: Air, Section 13.5: Terrain and Soils, Section 13.6: Vegetation",1.0,42.0,Ekwan,"Alberta, British Columbia, All",Gas,Figure
44,Figure 13.4-1 Temperature Normals Measured at the Fort Nelson Airport for the Period 1971 to 2000,13.4.1.3 Precipitation  ,Figure 13.4-1 Temperature Normals Measured at the Fort Nelson Airport for the Period 1971 to 2000,1.0,268706,A0H8C0 - 13.0 EIA - Section 13.1 to 13.6 ,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/268693,A0H8C0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/268706,268706.pdf,52,2003-03-17,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD,ESA,"Section 13.1: Introduction, Section 13.1: Project Description, Section 13.3: Assessment Methods, Section 13.4: Air, Section 13.5: Terrain and Soils, Section 13.6: Vegetation",1.0,42.0,Ekwan,"Alberta, British Columbia, All",Gas,Figure
44,"Figures 13.4-2, 13.4-3 and 13.4-4 show the mean rainfall, mean snowfall and mean total precipitation as well as the number of days of measurable precipitation. The mean annual rainfall, snowfall, and total precipitation are 319.8 mm, 177.8 cm and 451.7 mm, respectively. On average, there are 129.5 days each year when there is measurable precipitation (greater than 0.2 mm of water equivalent recorded).",,"Figures 13.4-2, 13.4-3 and 13.4-4 show the mean rainfall, mean snowfall and mean total precipitation as well as the number of days of measurable precipitation. The mean annual rainfall, snowfall, and total precipitation are 319.8 mm, 177.8 cm and 451.7 mm, respectively. On average, there are 129.5 days each year when there is measurable precipitation (greater than 0.2 mm of water equivalent recorded).",0.0,268706,A0H8C0 - 13.0 EIA - Section 13.1 to 13.6 ,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/268693,A0H8C0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/268706,268706.pdf,52,2003-03-17,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD,ESA,"Section 13.1: Introduction, Section 13.1: Project Description, Section 13.3: Assessment Methods, Section 13.4: Air, Section 13.5: Terrain and Soils, Section 13.6: Vegetation",1.0,42.0,Ekwan,"Alberta, British Columbia, All",Gas,Figure
