Title,Application Name,Application Short Name,Application Filing Date,Company Name,Commodity,File Name,ESA Folder URL,Document Number,Data ID,PDF Download URL,Application Type,Pipeline Location,Hearing Order,Consultant Name,Pipeline Status,Regulatory Instrument(s),Application URL,Decision URL,ESA Section(s),ESA Section(s) Index,Topics,PDF Page Number,tableNumber,PDF Size (bytes),PDF Page Count,Outline Present,figureNumber,Content Type
Table 2-1. Regional Background Air Contaminant Concentrations,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-12 Environmental and Socio-Economic Assessment - Part 6 - A7X5R4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R4,4159796,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159796,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,"Appendix 7 Air and Greenhouse Gas Technical Data Report, Appendix 8 Noise Impact Assessment Technical Data Report",,"['Air', 'Human', 'Technology']",11,1.0,7651784,75,1,,Table
Table 2-1. Regional Background Air Contaminant Concentrations,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-12 Environmental and Socio-Economic Assessment - Part 6 - A7X5R4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R4,4159796,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159796,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,"Appendix 7 Air and Greenhouse Gas Technical Data Report, Appendix 8 Noise Impact Assessment Technical Data Report",,"['Air', 'Human', 'Technology']",12,1.0,7651784,75,1,,Table
Table 3-1. Summary of Flare Emissions Air Dispersion Modelling Results,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-12 Environmental and Socio-Economic Assessment - Part 6 - A7X5R4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R4,4159796,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159796,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,"Appendix 7 Air and Greenhouse Gas Technical Data Report, Appendix 8 Noise Impact Assessment Technical Data Report",,"['Air', 'Human', 'Technology']",16,1.0,7651784,75,1,,Table
Table 4-1. Summary of Jurisdictional Greenhouse Gas Inventories,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-12 Environmental and Socio-Economic Assessment - Part 6 - A7X5R4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R4,4159796,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159796,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,"Appendix 7 Air and Greenhouse Gas Technical Data Report, Appendix 8 Noise Impact Assessment Technical Data Report",,"['Air', 'Human', 'Technology']",17,1.0,7651784,75,1,,Table
Table 4-2. Emission Factors for Pipeline Construction,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-12 Environmental and Socio-Economic Assessment - Part 6 - A7X5R4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R4,4159796,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159796,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,"Appendix 7 Air and Greenhouse Gas Technical Data Report, Appendix 8 Noise Impact Assessment Technical Data Report",,"['Air', 'Human', 'Technology']",18,1.0,7651784,75,1,,Table
Table 4-3. Construction GHG Emissions Factors Associated with Equipment Operations per Compressor Station Construction (in tonnes),Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-12 Environmental and Socio-Economic Assessment - Part 6 - A7X5R4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R4,4159796,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159796,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,"Appendix 7 Air and Greenhouse Gas Technical Data Report, Appendix 8 Noise Impact Assessment Technical Data Report",,"['Air', 'Human', 'Technology']",18,2.0,7651784,75,1,,Table
Table 4-4. Greenhouse Gas Emissions Associated with Pipeline and Compressor Station Construction (in tonnes),Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-12 Environmental and Socio-Economic Assessment - Part 6 - A7X5R4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R4,4159796,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159796,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,"Appendix 7 Air and Greenhouse Gas Technical Data Report, Appendix 8 Noise Impact Assessment Technical Data Report",,"['Air', 'Human', 'Technology']",19,1.0,7651784,75,1,,Table
Table 4-5. Annual Propane Gas GHG Emissions Estimate,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-12 Environmental and Socio-Economic Assessment - Part 6 - A7X5R4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R4,4159796,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159796,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,"Appendix 7 Air and Greenhouse Gas Technical Data Report, Appendix 8 Noise Impact Assessment Technical Data Report",,"['Air', 'Human', 'Technology']",19,2.0,7651784,75,1,,Table
Table 4-6. Annual Greenhouse Emissions due to Feed Gas Flaring,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-12 Environmental and Socio-Economic Assessment - Part 6 - A7X5R4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R4,4159796,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159796,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,"Appendix 7 Air and Greenhouse Gas Technical Data Report, Appendix 8 Noise Impact Assessment Technical Data Report",,"['Air', 'Human', 'Technology']",20,1.0,7651784,75,1,,Table
Table 4-7. Annual Greenhouse Gas Emissions for Compressor Stations Electricity Purchases,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-12 Environmental and Socio-Economic Assessment - Part 6 - A7X5R4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R4,4159796,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159796,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,"Appendix 7 Air and Greenhouse Gas Technical Data Report, Appendix 8 Noise Impact Assessment Technical Data Report",,"['Air', 'Human', 'Technology']",20,2.0,7651784,75,1,,Table
