Title,Content Type,Application Name,Application Short Name,Application Filing Date,Company Name,Commodity,File Name,ESA Folder URL,Document Number,PDF Download URL,Application Type (NEB Act),Pipeline Location,Hearing order,Consultant Name,Pipeline Status,Regulatory Instrument(s),Application URL,Decision URL,ESA Section(s),ESA Section(s) Index,ESA Section(s) Topics,PDF Page Number,PDF Page Count,PDF Size,PDF Outline,Project Download Path,Table Download Path,Good Quality,"Landscape, terrain, and weather",Soil,Plants,Water,Fish,Wetlands,Wildlife,Species at Risk,Greenhouse gas emissions,Air emissions,Noise,Electricity and electromagnetism,Proximity to people,"Archaeological, paleontological, historical, and culturally significant sites and resources",Human access to boats and waterways,"Indigenous land, water, and air use",Impact to social and cultural well-being,Impact to human health and viewscapes,"Social, cultural, economic infrastructure and services",Economic Offsets and Impact,Environmental Obligations,Treaty and Indigenous Rights,Thumbnail Location,Data ID,Internal_ID,ID
TABLE 1 POTENTIAL ACCESS MANAGEMENT MEASURES Type of Measure Specifications Comments,Table,Application for the construction of the West Path Delivery Project,West Path Delivery ,2/12/2018,NOVA Gas Transmission Ltd.,Gas,A89944-11 Section 10-Appendix 10-2-ESA Part 2_Appendix_a - A6A2C9,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3464032,A6A2C9,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3462375,Large Projects (over 40 km),Alberta,GH-002-2018,Stantec Consulting Ltd,Approved,XG-N081-005-2019,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3422051,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3760274,Appendix A: Environmental Protection Plan,2,Environment Protection Plan,201,436,12.62,Yes,/projects/wstpthdlvr.zip,/tables/wstpthdlvr_table-1-potential-access-management-measures-type-_pt-1_pg-201_doc-num-A6A2C9.zip,TRUE,47,47,77,32,33,19,41,38,0,26,31,26,0,44,46,27,25,18,71,51,21,34,thumbnails/3462375_201.jpg,3462375,3462375_201_t_1,11668
Table A-1 Site Inspection Data,Table,Application for the Construction of North Corridor Expansion Project,North Corridor,4/4/2019,NOVA Gas Transmission Ltd.,Gas,A98641-17 NCE_ESA_Appendices3to5 - A6T2W4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3762447,A6T2W4,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3762643,Large Projects (over 40 km),Alberta,GH-002-2019,Jacobs,Applied,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3760383,pending,"Soils Technical Data Reports, North Star Section 2 Soils Technical Data Report, Bear Canyon North Extension Soils Technical Data Report, Air and Greenhouse Gas Assessment, Noise Impact Assessment",7,"Land, Air, Vegetation, Human, Technology",32,491,9.69,Yes,/projects/nrthcrrdr.zip,/tables/nrthcrrdr_table-a-1-site-inspection-data_pt-1_pg-32_doc-num-A6T2W4.zip,TRUE,53,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thumbnails/3762643_32.jpg,3762643,3762643_32_t_1,12497
Table B-1 Site Inspection List Key,Table,Application for the Construction of North Corridor Expansion Project,North Corridor,4/4/2019,NOVA Gas Transmission Ltd.,Gas,A98641-17 NCE_ESA_Appendices3to5 - A6T2W4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3762447,A6T2W4,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3762643,Large Projects (over 40 km),Alberta,GH-002-2019,Jacobs,Applied,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3760383,pending,"Soils Technical Data Reports, North Star Section 2 Soils Technical Data Report, Bear Canyon North Extension Soils Technical Data Report, Air and Greenhouse Gas Assessment, Noise Impact Assessment",7,"Land, Air, Vegetation, Human, Technology",40,491,9.69,Yes,/projects/nrthcrrdr.zip,/tables/nrthcrrdr_table-b-1-site-inspection-list-key_pt-1_pg-40_doc-num-A6T2W4.zip,TRUE,31,42,0,18,9,0,11,0,0,0,0,0,0,0,0,25,0,0,0,35,0,24,thumbnails/3762643_40.jpg,3762643,3762643_40_t_1,12498
Table C-1 Nutrient Level Analyses,Table,Application for the Construction of North Corridor Expansion Project,North Corridor,4/4/2019,NOVA Gas Transmission Ltd.,Gas,A98641-17 NCE_ESA_Appendices3to5 - A6T2W4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3762447,A6T2W4,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3762643,Large Projects (over 40 km),Alberta,GH-002-2019,Jacobs,Applied,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3760383,pending,"Soils Technical Data Reports, North Star Section 2 Soils Technical Data Report, Bear Canyon North Extension Soils Technical Data Report, Air and Greenhouse Gas Assessment, Noise Impact Assessment",7,"Land, Air, Vegetation, Human, Technology",42,491,9.69,Yes,/projects/nrthcrrdr.zip,/tables/nrthcrrdr_table-c-1-nutrient-level-analyses_pt-1_pg-42_doc-num-A6T2W4.zip,TRUE,0,0,0,0,0,0,0,0,17,21,0,0,18,0,0,0,0,0,0,0,0,0,thumbnails/3762643_42.jpg,3762643,3762643_42_t_1,12499
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
