Title,Titre,ID
Figure A-1: Baseline Disturbances in Regional Study Area – Sheet 1 of 12  ,Figure A-1 : Perturbations de référence dans la zone d’étude régionale - Feuille 1 sur 12  ,3892359_150
Figure A-2: Baseline Disturbances in Regional Study Area – Sheet 2 of 12,Figure A-2 : Perturbations de référence dans la zone d’étude régionale - Feuille 2 sur 12,3892359_151
Figure A-3: Baseline Disturbances in Regional Study Area – Sheet 3 of 12,Figure A-3 : Perturbations de référence dans la zone d’étude régionale - Feuille 3 sur 12,3892359_152
Figure A-4: Baseline Disturbances in Regional Study Area – Sheet 4 of 12,Figure A-4 : Perturbations de référence dans la zone d’étude régionale - Feuille 4 sur 12,3892359_153
Figure A-5: Baseline Disturbances in Regional Study Area – Sheet 5 of 12,Figure A-5 : Perturbations de référence dans la zone d’étude régionale - Feuille 5 sur 12,3892359_154
Figure A-6: Baseline Disturbances in Regional Study Area – Sheet 6 of 12,Figure A-6 : Perturbations de référence dans la zone d’étude régionale - Feuille 6 sur 12,3892359_155
Figure A-7: Baseline Disturbances in Regional Study Area – Sheet 7 of 12,Figure A-7 : Perturbations de référence dans la zone d’étude régionale - Feuille 7 sur 12,3892359_156
Figure A-8: Baseline Disturbances in Regional Study Area – Sheet 8 of 12,Figure A-8 : Perturbations de référence dans la zone d’étude régionale - Feuille 8 sur 12,3892359_157
Figure A-9: Baseline Disturbances in Regional Study Area – Sheet 9 of 12,Figure A-9 : Perturbations de référence dans la zone d’étude régionale - Feuille 9 sur 12,3892359_158
Figure A-10: Baseline Disturbances in Regional Study Area – Sheet 10 of 12,Figure A-10 : Perturbations de référence dans la zone d’étude régionale - Feuille 10 sur 12,3892359_159
Figure A-11: Baseline Disturbances in Regional Study Area – Sheet 11 of 12,Figure A-11 : Perturbations de référence dans la zone d’étude régionale - Feuille 11 sur 12,3892359_160
Figure A-12: Baseline Disturbances in Regional Study Area – Sheet 12 of 12 ,Figure A-12 : Perturbations de référence dans la zone d’étude régionale - Feuille 12 sur 12 ,3892359_161
Figure 1.  Proposed  South Peace Pipeline Project and stream crossing locations - south. ,Figure 1. Projet de pipeline South Peace proposé et emplacements des franchissements de cours d’eau – Sud ,500630_4
Figure 2.  Proposed  South Peace Pipeline Project and stream crossing locations - north. ,Figure 2. Projet de pipeline South Peace proposé et emplacements des franchissements de cours d’eau – Nord ,500630_5
Figure 9:  Surficial Geology in the General Area of the Proposed Pouce Coupe River Crossing (by GVM Geological Consultants) (Background is a 2007 aerial photograph.) (See Appendix 1 for a Terrain Legend)  ,Figure 9 : Géologie des dépôts meubles dans la zone générale du franchissement proposé de la rivière Pouce Coupé (par GVM Geological Consultants) (l’arrière-plan est une photo aérienne de 2007.) (Voir l’annexe 1 pour une légende du terrain)  ,555078_14
Figure 1 Groundbirch Pipeline Project Proposed Route - Alberta ,Figure 1 Tracé proposé pour le projet pipelinier Groundbirch - Alberta ,555099_25
Figure 1 Regional Overview of the Horn River Mainline Project ,Figure 1 Aperçu régional du projet de canalisation principale Horn River ,600509_28
Figure 1 Regional Location for the Proposed NGTL Horn River Mainline.  ,Figure 1 Emplacement régional de la canalisation principale Horn River proposée de NGTL.  ,600731_17
"Figure 3: Michael J. Asch 1981. Slavey. Handbook of North American Indians, Vol.6, Subarctic. Published by the Smithonian Institution, Washington D.C.   P. 338.","Figure 3 : Michael J. Asch 1981. Slavey. Handbook of North American Indians, Vol.6, Subarctic. Published by the Smithonian Institution, Washington D.C.   P. 338.",600881_29
Figure 4:  Patrick Moore and Angela Wheelock 1990 (editors). Wolverine Myths and Visions: Dene Traditions from Northern Alberta. Edmonton: University of Alberta Press. P. xv.,Figure 4 : Patrick Moore et Angela Wheelock 1990 (éditeurs). Wolverine Myths and Visions : Dene Traditions from Northern Alberta. Edmonton : University of Alberta Press. P. xv.,600881_30
Figure 11A-1 Pathways of Effects Summary – Fisheries and Oceans Canada ,Figure 11A-1 Résumé des parcours des effets – Pêches et Océans Canada ,620226_10
Figure 11A-11 Pathways of Effects – Structure Removal ,Figure 11A-11 Parcours des effets – Enlèvement de la structure ,620226_20
Figure 12-1: Locations of contiguous and non contiguous ROW locations for the ,Figure 12-1 : Emplacements des emprises contiguës et non contiguës pour ,684447_4
Figure A-1 BC MOE Kyklo Creek Section Area (40 km by 60 km) ,Figure A-Tronçon Kyklo Creek MOE C.-B. (40 km sur 60 km) ,684453_53
Figure 12-1: Locations of Contiguous and Non-Contiguous ROW for the  Komie North Section ,Figure 12-1 : Emplacements des emprises contiguës et non contiguës pour le tronçon Komie Nord ,729133_4
Figure 12-2: Locations of Contiguous and Non-Contiguous ROW for the  Chinchaga Section ,Figure 12-2 : Emplacements des emprises contiguës et non contiguës pour le tronçon Chinchaga ,729133_5
Figure D.9: Frequency of Modelled Pasquill-Gifford Stability Classes for Edmonton ,Figure D.9 : Fréquence des classes de stabilité Pasquill-Gifford modélisées pour Edmonton ,2393386_32
Figure D.10: Frequency of Modelled Pasquill-Gifford Stability Classes for Kamloops ,Figure D.10 : Fréquence des classes de stabilité Pasquill-Gifford modélisées pour Kamloops ,2393386_33
Figure D.11: Frequency of Modelled Pasquill-Gifford Stability Classes for Sumas  ,Figure D.11 : Fréquence des classes de stabilité Pasquill-Gifford modélisées pour Sumas  ,2393386_34
"Figure D.13: Modelled Wind Fields at 10 m Above Ground Level During Unstable, Neutral, and Stable Conditions at Edmonton",Figure D.13 : Champs de vent modélisés à 10 m au-dessus du sol en période d’instabilité,2393386_36
"Figure D.14: Modelled Wind Fields at 10 m Above Ground Level During Unstable, Neutral, and Stable Conditions at Kamloops",Figure D.14 : Champs de vent modélisés à 10 m au-dessus du sol en période d’instabilité,2393386_37
"Figure D.15: Modelled Wind Fields at 10 m Above Ground Level During Unstable, Neutral, and Stable Conditions at Sumas",Figure D.15 : Champs de vent modélisés à 10 m au-dessus du sol en période d’instabilité,2393386_38
