csvFileName	csvText
4159796_11_lattice-v_1.csv	"[[""Pollutant"",""Averaging Period"",""Background Concentration"",""Manitoba Ambient Air Quality Criteria"",""Saskatchewan Ambient Air Quality Standard"",""Canada Ambient Air Quality Criteria""],[""CO (ppm)"",""1 hour"",""1.1"",""13<s>b<\/s>"",""13"",""-""],[""NO<s>2<\/s> (ppm)"",""1 hour"",""0.043"",""0.213<s>a<\/s>"",""0.159"",""0.042<s>c<\/s>""],[""NO<s>2<\/s> (ppm)"",""24 hours"",""0.032"",""0.106<s>a<\/s>"",""0.106"",""-""],[""NO<s>2<\/s> (ppm)"",""Annual"",""0.01"",""0.032<s>b<\/s>"",""0.024"",""0.012<s>c<\/s>""],[""SO<s>2<\/s> (ppm)"",""1 hour"",""0.003"",""0.17<s>b<\/s>"",""0.172"",""0.065<s>c<\/s>""],[""SO<s>2<\/s> (ppm)"",""24 hours"",""0.002"",""0.06<s>b<\/s>"",""0.048"",""-""],[""SO<s>2<\/s> (ppm)"",""Annual"",""0.000"",""0.01<s>b<\/s>"",""0.0036"",""0.004<s>c<\/s>""],[""Fine Particulate Matter (PM<s>2.5<\/s>) (\u00b5g\/m<s>3<\/s>)"",""24 hours"",""14.7"",""30<s>a<\/s>"",""28"",""27""],[""Fine Particulate Matter (PM<s>2.5<\/s>) (\u00b5g\/m<s>3<\/s>)"",""Annual"",""3.7"",""-"",""10"",""8.8""],[""Particulate Matter (PM<s>10<\/s>) (\u00b5g\/m<s>3<\/s>)"",""24 hours"",""36.3"",""50<s>a<\/s>"",""50"",""-""]]"
4159796_12_lattice-v_1.csv	"[[""Pollutant"",""Averaging Period"",""Background Concentration"",""Manitoba Ambient Air Quality Criteria"",""Saskatchewan Ambient Air Quality Standard"",""Canada Ambient Air Quality Criteria""],[""H<s>2<\/s>S (parts per billion)"",""1 hour"",""N\/A"",""11<s>a<\/s>"",""11"",""-""],[""H<s>2<\/s>S (parts per billion)"",""24 hours"",""N\/A"",""4"",""3.6"",""-""]]"
4159796_16_lattice-v_1.csv	"[[""Contaminant"",""CAS #"",""Emission Rate (g\/s)<s>a<\/s>"",""Averaging Period"",""Maximum Modelled Concentration (ug\/m<s>3<\/s>)"",""Background (ug\/m<s>3<\/s>)<s>b<\/s>"",""Total Concentrations (ug\/m<s>3<\/s>)"",""MAAQC\/CAAQS (ug\/m<s>3<\/s>)"",""Exceed AAQC?""],[""SO<s>2<\/s>"",""7446-09-5"",""1.28"",""1 hour"",""95.2"",""8"",""103.2"",""450\/183<s>d<\/s>"",""No""],[""SO<s>2<\/s>"",""7446-09-5"",""1.28"",""24 hours"",""57.1"",""5"",""62.1"",""150\/NA"",""No""],[""H<s>2<\/s>S"",""7783-06-4"",""0.034"",""1 hour<s>c<\/s>"",""2.5"",""N\/A"",""2.5"",""15\/NA"",""No""],[""H<s>2<\/s>S"",""7783-06-4"",""0.034"",""24 hours<s>c<\/s>"",""1.5"",""N\/A"",""1.5"",""5\/NA"",""No""]]"
4159796_17_lattice-v_1.csv	"[[""Year"",""National GHG Inventory Report"","""",""""],[""Year"",""Manitoba (kt CO<s>2<\/s>e\/year)"",""Saskatchewan (kt CO<s>2<\/s>e\/year)"",""Canada (kt CO<s>2<\/s>e\/year)""],[""Applicable Future GHG Reduction Targets"","""","""",""""],[""2030"",""No available information"",""No available information"",""511,000<s>a<\/s>""],[""Past GHG Emissions"","""","""",""""],[""2019"",""22,600"",""74,800"",""730,000""]]"
4159796_18_lattice-v_1.csv	"[["""",""CO<s>2<\/s>"",""CH<s>4<\/s>"",""N<s>2<\/s>O"",""CO<s>2<\/s>e""],[""Off-road equipment"",""27.4"",""0.0016"",""0.0113"",""30.8""],[""On-road equipment"",""19.6"",""0.0002"",""0.0002"",""19.7""],[""Total per kilometre"",""46.9"",""0.0018"",""0.0115"",""50.4""],[""Total (20 km) - tonnes"",""938"",""0.036"",""0.23"",""1,008""]]"
4159796_18_lattice-v_2.csv	"[["""",""CO<s>2<\/s>"",""CH<s>4<\/s>"",""N<s>2<\/s>O"",""CO<s>2<\/s>e""],[""Total"",""2,660"",""0.12"",""0.85"",""2,920""]]"
4159796_19_lattice-v_1.csv	"[["""",""CO<s>2<\/s>"",""CH<s>4<\/s>"",""N<s>2<\/s>O"",""CO<s>2<\/s>e""],[""Pipeline construction"",""938"",""0.036"",""0.23"",""1,008""],[""Compressor station construction"",""2660"",""0.12"",""0.85"",""2,920""],[""Construction total"",""3,600"",""0.16"",""1.1"",""3,930""]]"
4159796_19_lattice-v_2.csv	"[["""",""CO<s>2 <\/s>(kg\/scf)"",""CH<s>4 <\/s>(g\/scf)"",""N<s>2<\/s>O (g\/scf)"",""CO<s>2<\/s>e (kg\/scf)""],[""Emission factors"",""0.15463"",""0.007548"",""0.0015"",""0.155269""],[""Emissions @ 37.5 scfh (kilograms\/year)"",""50,800"",""2.5"",""0.50"",""51,000""],[""GHG totals (tonnes\/year)"",""50.8"",""0.0025"",""0.0005"",""51.0""]]"
4159796_2_lattice-v_1.csv	"[["""","""","""","""","""",""Pipeline Environmental Protection Plan  Steel Re ef Pipelines Canada Corp.""]]"
4159796_20_lattice-v_1.csv	"[["""",""CO<s>2 <\/s>"",""CH<s>4<\/s>"",""N<s>2<\/s>O"",""CO<s>2<\/s>e (tonnes)""],[""Emission factors (grams\/scm)"",""1886"",""1.9"",""0.05"",""-""],[""Emissions @ 428.7 scm (kilograms\/year)"",""808.5"",""0.81"",""0.02"",""-""],[""GHG totals (tonnes\/year)"",""0.81"",""0.0008"",""0.00002"",""0.84""]]"
4159796_20_lattice-v_2.csv	"[[""Parameters"",""Value"",""Comment\/Units""],[""Continuous electrical load"",""1,300"",""kW per hour""],[""Purchased electricity emission factor"",""750"",""tonnes CO<s>2<\/s>e\/GWh (Manitoba Hydro 2021)""],[""CO<s>2<\/s>e emissions"",""0.975"",""tonnes CO<s>2<\/s>e per hour""],[""Total annual CO<s>2<\/s>e"",""8,541"",""tonnes per year""]]"
4159796_20_lattice-v_3.csv	"[["""",""CO<s>2<\/s>"",""CH<s>4<\/s>"",""N<s>2<\/s>O"",""CO<s>2<\/s>e""],[""Purchased electricity"",""-"",""-"",""-"",""8,541""],[""Propane pilot"",""50.8"",""0.0025"",""0.0005"",""51""],[""Pig trap depressurization and maintenance flaring"",""0.8"",""0.0008"",""0.00002"",""0.8""]]"
4159796_21_lattice-v_1.csv	"[["""",""CO<s>2<\/s>"",""CH<s>4<\/s>"",""N<s>2<\/s>O"",""CO<s>2<\/s>e""],[""Maintenance vehicles"",""47.2"",""0.0063"",""0.0015"",""48""],[""Annual total"",""-"",""-"",""-"",""8,641""]]"
4159796_21_lattice-v_2.csv	"[[""Year"",""National GHG Inventory Report"","""",""""],[""Year"",""Manitoba (kt CO<s>2<\/s>e\/year)"",""Saskatchewan (kt CO<s>2<\/s>e \/year)"",""Canada (kt CO<s>2<\/s>e\/year)""],[""Applicable Future GHG Reduction Targets"","""","""",""""],[""2030"",""No available information"",""No available information"",""511,000<s>a<\/s>""],[""Construction Project emissions"",""-"",""-"",""3.9<s>b<\/s>\/0.0008%""],[""Operational Phase Project Emissions  (kt\/year and % of target)"",""-"",""-"",""8.6 \/ 0.0016%""],[""Past GHG Emissions"","""","""",""""],[""2019"",""22,600"",""74,800"",""730,000""],[""Construction Project emissions"",""3.9<s>b<\/s>\/0.02%"",""3.9<s>b<\/s>\/0.005%"",""3.9<s>b<\/s>\/0.0005%""]]"
4159796_22_lattice-v_1.csv	"[[""Year"",""National GHG Inventory Report"","""",""""],[""Year"",""Manitoba (kt CO<s>2<\/s>e\/year)"",""Saskatchewan (kt CO<s>2<\/s>e \/year)"",""Canada (kt CO<s>2<\/s>e\/year)""],[""Operational phase Project emissions (kt\/year and % of 2019 emissions)"",""8.6\/0.03%"",""8.6\/0.01%"",""8.6\/0.001%""]]"
4159796_28_lattice-v_1.csv	"[["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""],["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""],["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""],["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""],["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""],["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""],["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""],["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""],["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""],["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""],["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""],["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""],["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""],["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""],["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""],["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""],["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""],["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""],["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""],["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""],["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]]"
4159796_30_lattice-v_1.csv	"[[""Species"",""Mol Frac""],[""H2"",""0.0007""],[""He"",""0.0004""],[""N2"",""0.1978""],[""CO2"",""0.0135""],[""H2S"",""0.007""],[""C1"",""0.1346""],[""C2"",""0.2331""],[""C3"",""0.2401""],[""iC4"",""0.0328""],[""nC4"",""0.0772""],[""iC5"",""0.0169""],[""nC5"",""0.0173""],[""C6"",""0.0102""],[""C7"",""0.0069""],[""H2O"",""0.0115""]]"
4159796_32_lattice-v_1.csv	"[[""Source Type"",""Flare"",""""],[""Location \u2013 UTM zone 14"",""328419 m Easting"",""5498994 m Northing""],[""Base elevation"",""519 m"",""""],[""Total heat release rate<s>a<\/s>"",""113,784 J\/s"",""""],[""Heat loss fraction<s>b<\/s>"",""0.25"",""""],[""Physical stack height"",""18.3 m"",""""],[""Effective stack height"",""18.90 m"",""""],[""Effective stack diameter<s>a<\/s>"",""0.141 m"",""""],[""Exit temperature"",""1273 K"",""""],[""Exit velocity"",""20 m\/s"",""""],[""Flow rate to flare"",""0.0642 m<s>3<\/s>\/s (231 m<s>3<\/s> assumed released over one hour)"",""""],[""Discharge direction"",""Vertical"",""""],[""Minimum\/maximum temperatures"",""233\/313 K"",""""],[""Minimum wind speed"",""0.5 m\/s"",""""],[""Anemometer height"",""10 m"",""""],[""Rural or Urban"",""Rural"",""""],[""Surface characteristics"",""Cultivated land \u2013 average moisture Albedo: 0.14 Bowen ratio: 0.30 Roughness length: 0.03 m"",""""],[""Adj u* used?"",""No"",""""],[""Terrain included?"",""No"",""""],[""Flagpole receptors used?"",""No"",""""],[""Downwash?"",""No"",""""],[""Nearest distance to fence line"",""26.5 m"",""""]]"
4159796_33_lattice-v_1.csv	"[[""Source Type"",""Flare""],[""Maximum receptor distance"",""10,000 m (default)""]]"
