,scale,km_kilometers,m,metres,scale_grp,legend,figure,mapp,alignment_sheet,sheet,figure_grp,north,n,words_in_page,No_of_images,Area_of_images,dataID,pageNo,paths_l
0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,3,674022,4160317,1,c:\Users\t1nipun\Desktop\BERDI\esa-data-bank_banque-donnees-ees\data\raw\pdfs\4160317.pdf
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2124,1,38070,4160317,2,c:\Users\t1nipun\Desktop\BERDI\esa-data-bank_banque-donnees-ees\data\raw\pdfs\4160317.pdf
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2187,1,38070,4160317,3,c:\Users\t1nipun\Desktop\BERDI\esa-data-bank_banque-donnees-ees\data\raw\pdfs\4160317.pdf
3,0,0,0,0,0,0,0,0,0,0,0,0,0,2164,1,38070,4160317,4,c:\Users\t1nipun\Desktop\BERDI\esa-data-bank_banque-donnees-ees\data\raw\pdfs\4160317.pdf
4,0,0,0,0,0,0,0,0,0,0,0,0,0,2196,1,38070,4160317,5,c:\Users\t1nipun\Desktop\BERDI\esa-data-bank_banque-donnees-ees\data\raw\pdfs\4160317.pdf
5,0,0,0,0,0,0,0,0,0,0,0,0,0,2187,1,38070,4160317,6,c:\Users\t1nipun\Desktop\BERDI\esa-data-bank_banque-donnees-ees\data\raw\pdfs\4160317.pdf
6,0,0,0,0,0,0,0,0,0,0,0,0,0,2084,1,38070,4160317,7,c:\Users\t1nipun\Desktop\BERDI\esa-data-bank_banque-donnees-ees\data\raw\pdfs\4160317.pdf
7,0,0,0,0,0,0,0,0,0,0,0,0,0,2116,1,38070,4160317,8,c:\Users\t1nipun\Desktop\BERDI\esa-data-bank_banque-donnees-ees\data\raw\pdfs\4160317.pdf
8,0,0,0,0,0,0,0,0,0,0,0,0,0,2094,2,40406,4160317,9,c:\Users\t1nipun\Desktop\BERDI\esa-data-bank_banque-donnees-ees\data\raw\pdfs\4160317.pdf
9,0,0,0,0,0,0,0,0,0,0,0,0,0,2185,14,70518,4160317,10,c:\Users\t1nipun\Desktop\BERDI\esa-data-bank_banque-donnees-ees\data\raw\pdfs\4160317.pdf
10,0,0,0,0,0,0,0,0,0,0,0,0,0,2141,9,57718,4160317,11,c:\Users\t1nipun\Desktop\BERDI\esa-data-bank_banque-donnees-ees\data\raw\pdfs\4160317.pdf
11,0,0,0,0,0,0,0,0,0,0,0,0,0,2262,18,83100,4160317,12,c:\Users\t1nipun\Desktop\BERDI\esa-data-bank_banque-donnees-ees\data\raw\pdfs\4160317.pdf
12,0,0,0,0,0,0,0,0,0,0,0,0,0,1818,2,40662,4160317,13,c:\Users\t1nipun\Desktop\BERDI\esa-data-bank_banque-donnees-ees\data\raw\pdfs\4160317.pdf
13,0,0,0,1,1,0,0,0,0,0,0,0,0,1496,1,38070,4160317,14,c:\Users\t1nipun\Desktop\BERDI\esa-data-bank_banque-donnees-ees\data\raw\pdfs\4160317.pdf
14,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,1,38070,4160317,15,c:\Users\t1nipun\Desktop\BERDI\esa-data-bank_banque-donnees-ees\data\raw\pdfs\4160317.pdf
15,0,0,0,0,0,0,0,0,0,0,0,0,0,1051,1,38070,4160317,16,c:\Users\t1nipun\Desktop\BERDI\esa-data-bank_banque-donnees-ees\data\raw\pdfs\4160317.pdf
