Title,Data ID,PDF Page Number,count,CSV Download URL,PDF Download URL,Download folder name
"TABLE 3.1-11 SUMMARY OF CONSULTATION ACTIVITIES FOR SOCIAL AND CULTURAL WELL-BEING, HUMAN OCCUPANCY AND RESOURCE USE, INFRASTRUCTURE AND SERVICES, NAVIGATION AND NAVIGATION SAFETY, AND EMPLOYMENT AND ECONOMY ELEMENTS",2392986,96,2,http://www.cer-rec.gc.ca/esa-ees/tmx/2392986_96_1.csv; http://www.cer-rec.gc.ca/esa-ees/tmx/2392986_96_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2392986,tmx
TABLE 3.17 SUMMARY OF EXPOSURE LIMITS SELECTED FOR THE WESTRIDGE MARINE TERMINAL,2392723,50,2,http://www.cer-rec.gc.ca/esa-ees/tmx/2392723_50_1.csv; http://www.cer-rec.gc.ca/esa-ees/tmx/2392723_50_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2392723,tmx
TABLE 3.5 CHEMICALS OF POTENTIAL CONCERN FOR THE HUMAN HEALTH RISK ASSESSMENT OF THE WESTRIDGE MARINE TERMINAL,2392723,29,2,http://www.cer-rec.gc.ca/esa-ees/tmx/2392723_29_1.csv; http://www.cer-rec.gc.ca/esa-ees/tmx/2392723_29_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2392723,tmx
TABLE 4.29 KNOWN COHO-BEARING WATERCOURSES WITHIN THE BLACK PINES TO HOPE SEGMENT,2393478,83,2,http://www.cer-rec.gc.ca/esa-ees/tmx/2393478_83_1.csv; http://www.cer-rec.gc.ca/esa-ees/tmx/2393478_83_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2393478,tmx
TABLE 5.2 ACUTE INHALATION RISK QUOTIENTS FOR RESIDENTS AND AREA USERS – SUMAS TERMINAL,2392723,64,2,http://www.cer-rec.gc.ca/esa-ees/tmx/2392723_64_1.csv; http://www.cer-rec.gc.ca/esa-ees/tmx/2392723_64_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2392723,tmx
TABLE 5.34 WELLS ENCOUNTERED WITHIN 5 m OF BEDROCK IN THE LOCAL STUDY AREA IN MANITOBA1,464747,56,2,http://www.cer-rec.gc.ca/esa-ees/lbrtclppr/464747_56_1.csv; http://www.cer-rec.gc.ca/esa-ees/lbrtclppr/464747_56_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/464747,lbrtclppr
TABLE 5.6 CHRONIC INHALATION RISK QUOTIENTS FOR RESIDENTS – BURNABY TERMINAL,2392723,67,2,http://www.cer-rec.gc.ca/esa-ees/tmx/2392723_67_1.csv; http://www.cer-rec.gc.ca/esa-ees/tmx/2392723_67_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2392723,tmx
TABLE 6.4-5 SUMMARY OF CAC MONITORING RESULTS AT THE BEAVERLODGE CONTINUOUS AIR QUALITY MONITORING STATION (2011 TO 2013),2748826,64,2,http://www.cer-rec.gc.ca/esa-ees/2017ngtl/2748826_64_1.csv; http://www.cer-rec.gc.ca/esa-ees/2017ngtl/2748826_64_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2748826,2017ngtl
TABLE 6.6-7 PROJECT CONTRIBUTION TO ALBERTA PROVINCIAL OUTPUT,2748933,278,2,http://www.cer-rec.gc.ca/esa-ees/2017ngtl/2748933_278_1.csv; http://www.cer-rec.gc.ca/esa-ees/2017ngtl/2748933_278_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2748933,2017ngtl
Table 1-1: Summary of Potential Environmental Permits/ Approvals Required Prior to Project Construction,702727,36,2,http://www.cer-rec.gc.ca/esa-ees/lsmrkttlrvrcrssvr/702727_36_1.csv; http://www.cer-rec.gc.ca/esa-ees/lsmrkttlrvrcrssvr/702727_36_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/702727,lsmrkttlrvrcrssvr
